epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1023.15,1.84082,1.90487,1.81098,1.00734,0.70904,0.60785,0.65853,0.33668,0.65549,0.57518,0.6088,0.25113,1.62507,1.48781,1.26536,1.00472,0.000476308,0.000476308,0.000476308
2,2006.53,1.63232,1.63502,1.22335,0.93441,0.77566,0.64818,0.72472,0.38392,0.72149,0.60138,0.65146,0.26439,1.52381,1.43481,1.05524,0.97707,0.000921204,0.000921204,0.000921204
3,3005.01,1.55975,1.54662,1.13093,0.91175,0.76532,0.69307,0.73903,0.3981,0.6925,0.60801,0.63352,0.24828,1.4552,1.36101,0.97683,0.96115,0.00133466,0.00133466,0.00133466
4,4008.43,1.49712,1.47715,1.05161,0.89406,0.83659,0.69857,0.77085,0.42187,0.78272,0.65638,0.70407,0.31142,1.39224,1.30437,0.89407,0.94203,0.00128753,0.00128753,0.00128753
5,5016.17,1.43304,1.40651,0.97779,0.8809,0.83702,0.70917,0.78418,0.44824,0.78032,0.6881,0.74727,0.33645,1.32503,1.22251,0.83553,0.92707,0.00124037,0.00124037,0.00124037
6,6035.68,1.3817,1.36279,0.92677,0.87055,0.86539,0.71885,0.79572,0.45521,0.81069,0.67869,0.73851,0.32789,1.29307,1.20669,0.80274,0.92427,0.00119322,0.00119322,0.00119322
7,7038.49,1.34589,1.3193,0.89705,0.86132,0.88626,0.75084,0.82511,0.48762,0.82846,0.72261,0.78053,0.37682,1.25311,1.15484,0.75886,0.91214,0.00114606,0.00114606,0.00114606
8,8045.92,1.31644,1.28592,0.86907,0.85136,0.86448,0.76212,0.83019,0.49542,0.83646,0.73451,0.80171,0.40122,1.21081,1.13353,0.73177,0.90384,0.0010989,0.0010989,0.0010989
9,9047.75,1.30302,1.26511,0.83982,0.85319,0.88461,0.75877,0.82817,0.49672,0.85535,0.73022,0.80666,0.40079,1.21627,1.11456,0.73467,0.90807,0.00105174,0.00105174,0.00105174
10,10030.9,1.27542,1.24881,0.8211,0.84527,0.88018,0.77542,0.84096,0.50564,0.84725,0.75021,0.81949,0.41666,1.17454,1.09522,0.70509,0.896,0.00100459,0.00100459,0.00100459
11,11012.9,1.25514,1.22872,0.81398,0.83706,0.87534,0.7688,0.84287,0.51439,0.8352,0.73843,0.80547,0.39764,1.1623,1.08983,0.70086,0.89703,0.00095743,0.00095743,0.00095743
12,11999.1,1.23659,1.20365,0.79012,0.83284,0.87333,0.7713,0.84833,0.51045,0.83282,0.74811,0.82121,0.40894,1.1675,1.07409,0.69926,0.89496,0.000910273,0.000910273,0.000910273
13,12984.2,1.21857,1.19203,0.76531,0.83065,0.87771,0.77643,0.85141,0.52444,0.8354,0.7542,0.81847,0.41139,1.14111,1.06226,0.67923,0.89087,0.000863116,0.000863116,0.000863116
14,13959.9,1.20792,1.18709,0.76218,0.8305,0.91806,0.77931,0.85516,0.53088,0.87833,0.75405,0.82522,0.42851,1.13903,1.05602,0.66371,0.88878,0.000815959,0.000815959,0.000815959
15,14979.3,1.19184,1.17096,0.74793,0.82627,0.90242,0.79152,0.8603,0.53069,0.84734,0.76073,0.81274,0.40885,1.1209,1.04613,0.65666,0.88638,0.000768802,0.000768802,0.000768802
16,16009.6,1.16938,1.15122,0.73095,0.82165,0.88299,0.78258,0.8492,0.52271,0.8287,0.75249,0.80094,0.40391,1.13321,1.03739,0.67708,0.88915,0.000721645,0.000721645,0.000721645
17,17078.5,1.16734,1.15365,0.72102,0.82205,0.90182,0.77582,0.85857,0.52977,0.84465,0.74112,0.80473,0.39367,1.12785,1.02857,0.67013,0.88695,0.000674488,0.000674488,0.000674488
18,18134.9,1.15245,1.1247,0.71252,0.82048,0.90638,0.80141,0.87369,0.54837,0.86698,0.7814,0.84319,0.442,1.09465,1.01508,0.62728,0.88283,0.000627331,0.000627331,0.000627331
19,19184.5,1.13999,1.11775,0.69873,0.81416,0.91423,0.80186,0.87281,0.54873,0.88146,0.77213,0.83638,0.42968,1.09126,1.00639,0.63824,0.88151,0.000580174,0.000580174,0.000580174
20,20211.6,1.11807,1.09761,0.68052,0.80795,0.918,0.81239,0.88589,0.55995,0.88408,0.78605,0.85543,0.46848,1.07677,0.99635,0.61437,0.87797,0.000533017,0.000533017,0.000533017
21,21231,1.1876,1.14473,0.67328,0.87328,0.91246,0.80423,0.87968,0.55371,0.87042,0.77131,0.83972,0.43459,1.08038,1.00024,0.62024,0.87703,0.00048586,0.00048586,0.00048586
22,22236.5,1.16267,1.11028,0.64963,0.86884,0.89622,0.80877,0.87699,0.55217,0.8627,0.77976,0.84068,0.4349,1.07668,0.99669,0.61541,0.8768,0.000438703,0.000438703,0.000438703
23,23251.5,1.14163,1.09419,0.63632,0.86445,0.90514,0.8031,0.87389,0.5461,0.87401,0.76092,0.83013,0.41,1.08625,1.0026,0.62576,0.87817,0.000391546,0.000391546,0.000391546
24,24352.1,1.12278,1.08274,0.62369,0.86084,0.89528,0.80252,0.87324,0.54925,0.86207,0.76443,0.83285,0.41766,1.08118,0.99591,0.61962,0.87765,0.000344389,0.000344389,0.000344389
25,25355.6,1.11287,1.07468,0.61129,0.86045,0.9041,0.80507,0.8749,0.55121,0.86341,0.77429,0.83395,0.42611,1.07472,0.97988,0.61012,0.87612,0.000297232,0.000297232,0.000297232
26,26375.3,1.09805,1.05686,0.60373,0.85731,0.90557,0.80853,0.87667,0.55396,0.87049,0.77651,0.83588,0.431,1.07312,0.98012,0.60467,0.87545,0.000250075,0.000250075,0.000250075
27,27400,1.0835,1.05421,0.59208,0.8559,0.9035,0.80997,0.878,0.55357,0.87128,0.77608,0.83297,0.4293,1.07862,0.98148,0.60673,0.87659,0.000202918,0.000202918,0.000202918
28,28424.2,1.07003,1.03377,0.58247,0.85228,0.89751,0.80676,0.8772,0.55095,0.8649,0.77349,0.83236,0.42522,1.08041,0.98597,0.61037,0.87729,0.000155761,0.000155761,0.000155761
29,29428.8,1.05872,1.02575,0.5764,0.84949,0.90259,0.80296,0.87804,0.55201,0.88039,0.76742,0.83511,0.42744,1.07801,0.98466,0.60904,0.8763,0.000108604,0.000108604,0.000108604
30,30430.7,1.04836,1.01836,0.57072,0.84818,0.9065,0.80492,0.87932,0.55462,0.87814,0.76951,0.83474,0.4302,1.07461,0.97816,0.60619,0.87551,6.1447e-05,6.1447e-05,6.1447e-05
