epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.577,1.25022,1.602,1.18168,1.01973,0.92243,0.86562,0.92676,0.60815,0.9061,0.83902,0.89503,0.4686,1.07428,1.27893,0.6461,0.93191,0.00333053,0.00333053,0.00333053
2,359.918,1.14059,1.36746,0.72773,0.94976,0.92641,0.86579,0.92961,0.60439,0.91071,0.8529,0.911,0.48467,1.09364,1.28827,0.66345,0.94387,0.00659789,0.00659789,0.00659789
3,527.188,1.19072,1.41083,0.77188,0.96668,0.89975,0.83966,0.90257,0.57259,0.87673,0.80969,0.86858,0.43026,1.13985,1.38218,0.73024,0.96024,0.00979925,0.00979925,0.00979925
4,696.821,1.20828,1.41951,0.78626,0.9765,0.92435,0.87894,0.92667,0.61237,0.89853,0.85569,0.89958,0.45766,1.09444,1.29204,0.66906,0.95824,0.009703,0.009703,0.009703
5,865.632,1.14604,1.34371,0.71212,0.95763,0.92878,0.895,0.93714,0.63765,0.91252,0.86784,0.90743,0.48353,1.03026,1.22953,0.61347,0.93654,0.009604,0.009604,0.009604
6,1035.58,1.10274,1.29272,0.67248,0.94529,0.94454,0.89859,0.94719,0.64557,0.93078,0.87823,0.92557,0.50772,1.01957,1.20858,0.59626,0.92986,0.009505,0.009505,0.009505
7,1204.71,1.07376,1.26276,0.63852,0.93767,0.94714,0.91405,0.95254,0.65755,0.92954,0.89391,0.932,0.5129,1.00024,1.1989,0.55878,0.92567,0.009406,0.009406,0.009406
8,1373.71,1.05202,1.24143,0.6179,0.931,0.95137,0.91726,0.95431,0.66688,0.93094,0.89519,0.93152,0.51408,0.97519,1.15618,0.54739,0.92019,0.009307,0.009307,0.009307
9,1543.25,1.03296,1.21468,0.59855,0.92539,0.95697,0.92738,0.95898,0.67951,0.93601,0.90528,0.93894,0.52353,0.95115,1.13924,0.52889,0.91765,0.009208,0.009208,0.009208
10,1711.48,1.01782,1.19708,0.58508,0.92144,0.95379,0.93178,0.96157,0.68659,0.93254,0.89769,0.93665,0.5253,0.9424,1.13891,0.51572,0.91146,0.009109,0.009109,0.009109
11,1880.15,1.00591,1.18166,0.5734,0.91724,0.95781,0.93276,0.96521,0.69512,0.93221,0.90777,0.93861,0.52846,0.92587,1.1097,0.50051,0.90674,0.00901,0.00901,0.00901
12,2049.63,0.98932,1.16545,0.56023,0.91318,0.96137,0.92556,0.96242,0.69487,0.93831,0.89757,0.93879,0.52686,0.91309,1.11197,0.4964,0.90428,0.008911,0.008911,0.008911
13,2219.07,0.97901,1.15884,0.55532,0.91056,0.96051,0.93154,0.96545,0.7036,0.94273,0.90018,0.93989,0.53175,0.90356,1.10246,0.48411,0.90255,0.008812,0.008812,0.008812
14,2388.26,0.96669,1.14475,0.54342,0.90758,0.95785,0.93257,0.96504,0.70261,0.93441,0.90797,0.93924,0.53692,0.9036,1.10203,0.48273,0.90211,0.008713,0.008713,0.008713
15,2557.66,0.96821,1.13913,0.54116,0.90703,0.96169,0.93532,0.96673,0.709,0.93948,0.91048,0.94424,0.54609,0.89846,1.08536,0.47759,0.90141,0.008614,0.008614,0.008614
16,2726.67,0.9534,1.12454,0.53294,0.9025,0.96324,0.93798,0.96886,0.70947,0.94231,0.90781,0.94355,0.53704,0.89184,1.08547,0.47149,0.90023,0.008515,0.008515,0.008515
17,2895.65,0.94749,1.12751,0.52602,0.90043,0.96602,0.93531,0.97068,0.71128,0.94386,0.90751,0.94354,0.54555,0.88299,1.06593,0.46197,0.89804,0.008416,0.008416,0.008416
18,3064.5,0.94386,1.11738,0.52334,0.89975,0.96199,0.93699,0.96878,0.71499,0.94619,0.91147,0.945,0.53847,0.87449,1.07581,0.46068,0.89572,0.008317,0.008317,0.008317
19,3234.07,0.93612,1.11005,0.51546,0.89915,0.96542,0.9375,0.969,0.71412,0.94554,0.91134,0.94476,0.54599,0.87889,1.06472,0.45493,0.89787,0.008218,0.008218,0.008218
20,3403.21,0.93283,1.10366,0.51359,0.89791,0.96232,0.94141,0.9693,0.71749,0.94105,0.9098,0.9409,0.54316,0.86782,1.06317,0.45365,0.89437,0.008119,0.008119,0.008119
21,3572.58,0.92693,1.09091,0.50984,0.8952,0.96145,0.94569,0.96976,0.71803,0.93834,0.91669,0.94126,0.54263,0.86867,1.0479,0.44666,0.8974,0.00802,0.00802,0.00802
22,3740.24,0.92102,1.08785,0.50365,0.89457,0.96526,0.94479,0.96991,0.72356,0.94345,0.91729,0.94673,0.55077,0.86106,1.04111,0.43926,0.89376,0.007921,0.007921,0.007921
23,3908.21,0.91423,1.08395,0.49706,0.89173,0.96599,0.94181,0.97029,0.7232,0.94476,0.91426,0.94751,0.55062,0.86567,1.04625,0.44352,0.8952,0.007822,0.007822,0.007822
24,4076.9,0.91115,1.07994,0.49852,0.89168,0.96399,0.94406,0.9704,0.72104,0.9489,0.91355,0.94623,0.543,0.85162,1.0339,0.43492,0.89383,0.007723,0.007723,0.007723
25,4245.92,0.90668,1.08091,0.49023,0.88961,0.96194,0.94717,0.97079,0.72852,0.93955,0.91563,0.94438,0.55218,0.85101,1.04285,0.43505,0.89181,0.007624,0.007624,0.007624
26,4414.67,0.90095,1.06597,0.48924,0.88925,0.9653,0.95128,0.97172,0.73404,0.9468,0.91443,0.94618,0.55573,0.83553,1.02506,0.42747,0.88876,0.007525,0.007525,0.007525
27,4584.26,0.89768,1.06535,0.48299,0.88785,0.97052,0.94317,0.97108,0.73335,0.9482,0.9218,0.94795,0.55457,0.84047,1.02525,0.42308,0.88843,0.007426,0.007426,0.007426
28,4753.52,0.89211,1.05826,0.48222,0.88708,0.96787,0.94386,0.97268,0.73306,0.94493,0.91799,0.94543,0.55611,0.84043,1.02433,0.42341,0.88998,0.007327,0.007327,0.007327
29,4923.06,0.88876,1.06076,0.48019,0.88563,0.96412,0.95047,0.97331,0.73261,0.94996,0.91754,0.95019,0.55868,0.8381,1.01967,0.42248,0.88957,0.007228,0.007228,0.007228
30,5093.34,0.89052,1.05903,0.4791,0.88523,0.96488,0.94861,0.97031,0.73373,0.95069,0.92093,0.94987,0.55676,0.83129,1.01685,0.42145,0.88753,0.007129,0.007129,0.007129
31,5262.68,0.88665,1.05108,0.47447,0.88474,0.96447,0.94974,0.97153,0.73819,0.94732,0.91909,0.94789,0.55563,0.82937,1.01437,0.41908,0.88752,0.00703,0.00703,0.00703
32,5432.08,0.88798,1.04859,0.47561,0.88493,0.96438,0.94873,0.97263,0.73723,0.94274,0.92248,0.94673,0.56222,0.8287,1.01494,0.41737,0.88605,0.006931,0.006931,0.006931
33,5601.27,0.87827,1.04345,0.4741,0.88258,0.96438,0.95114,0.97362,0.7391,0.94663,0.92131,0.95203,0.56612,0.82717,1.01193,0.41607,0.88719,0.006832,0.006832,0.006832
34,5771.27,0.87557,1.0372,0.46847,0.88264,0.96297,0.95536,0.97535,0.73998,0.93769,0.92616,0.94913,0.56436,0.82613,1.01406,0.41228,0.88606,0.006733,0.006733,0.006733
35,5940.56,0.87322,1.038,0.46535,0.88276,0.96247,0.95188,0.97377,0.7408,0.94462,0.92007,0.94843,0.56557,0.82367,1.00899,0.41112,0.8864,0.006634,0.006634,0.006634
36,6110.26,0.87251,1.03468,0.46524,0.88182,0.96569,0.95228,0.97413,0.74301,0.94864,0.92079,0.94793,0.569,0.82017,1.00482,0.41026,0.8851,0.006535,0.006535,0.006535
37,6279.86,0.86766,1.02554,0.46231,0.87974,0.96703,0.94981,0.97316,0.74319,0.94544,0.92043,0.94882,0.56606,0.81744,1.00035,0.40809,0.88553,0.006436,0.006436,0.006436
38,6449.58,0.86451,1.02807,0.45958,0.87928,0.96662,0.95181,0.97278,0.74216,0.94817,0.91847,0.94915,0.56684,0.81716,0.9986,0.40723,0.88547,0.006337,0.006337,0.006337
39,6617.83,0.86164,1.02714,0.45805,0.87856,0.96872,0.94929,0.9733,0.74475,0.94829,0.9196,0.94967,0.56654,0.81433,0.99546,0.40459,0.88432,0.006238,0.006238,0.006238
40,6787.15,0.85868,1.02635,0.45696,0.8773,0.96741,0.9514,0.97421,0.74605,0.94549,0.92067,0.94931,0.56829,0.81294,0.99457,0.4043,0.88392,0.006139,0.006139,0.006139
41,6956.06,0.85913,1.01942,0.45437,0.87884,0.96773,0.95124,0.97372,0.7468,0.94579,0.92176,0.95004,0.56905,0.81349,0.99219,0.40268,0.88419,0.00604,0.00604,0.00604
42,7125.53,0.8507,1.01735,0.45302,0.87598,0.968,0.95259,0.97381,0.74562,0.94726,0.92135,0.94916,0.56895,0.8125,0.99238,0.40136,0.88333,0.005941,0.005941,0.005941
43,7294.69,0.85472,1.01624,0.45151,0.87572,0.96803,0.95395,0.97345,0.74578,0.94508,0.91999,0.94934,0.56979,0.81177,0.99202,0.40136,0.88245,0.005842,0.005842,0.005842
44,7463.7,0.85142,1.01054,0.4509,0.87571,0.96814,0.95273,0.97351,0.74576,0.94623,0.92035,0.95088,0.56811,0.81092,0.99277,0.40187,0.88233,0.005743,0.005743,0.005743
45,7632.91,0.85294,1.01604,0.4487,0.87432,0.96867,0.95292,0.97417,0.74542,0.94924,0.91937,0.95082,0.56814,0.81037,0.99212,0.40136,0.88209,0.005644,0.005644,0.005644
